clublink,clubdata,phonenumber,mailaddress,webpage
Verein Seglerhaus am Wannsee e. V.,"Verein Seglerhaus am Wannsee e. V.

     Am Großen Wannsee 22-26 

     14109 Berlin",8052006,vsaw(at)vsaw(dot)de,www.vsaw.de
Hard Lines Berlin e. V.,"Hard Lines Berlin e. V.

     Krowelstraße 33 

     13581 Berlin",030/9236166,hard-lines-berlin(at)gmx(dot)de,null
Blankenfelder Reiterverein e. V.,"Blankenfelder Reiterverein e. V.

     Hauptstraße 55 

     13159 Berlin",91320220,null,null
Ring Berliner Einzelpaddler e. V.,"Ring Berliner Einzelpaddler e. V.

     Karl-Liebknecht-Platz 8 

     17326 Brüsow",3974289056,handtheater(at)web(dot)de,null
TITAN e. V.,"TITAN e. V.

     Dannenwalder Weg 158 

     13439 Berlin",15731853595,gwhitner(at)yahoo(dot)de,null
Wassersportfreunde Imchen e. V.,"Wassersportfreunde Imchen e. V.

     Sakrower Kirch weg 6 

     14089 Berlin",3653063,null,null
Präzisions-Schieß-Klub,"Präzisions-Schieß-Klub

      

      Berlin",null,null,null
BSG TEMA-Fischer-Union,"BSG TEMA-Fischer-Union

     Prinzenallee 15 

     13357 Berlin",494 19 74,null,null
Marameo Berlin e.V.,"Marameo Berlin e.V.

     Wallstraße 32 

     10179 Berlin",282 34 55,post(at)marameo(dot)de,www.marameo.de
Aufschlag von unten e. V.,"Aufschlag von unten e. V.

     Ulsterstraße 3 

     12059 Berlin",55952427,berlin1981(at)gmx(dot)de,null
Motorsportverein Mahlsdorf e. V. (DMV),"Motorsportverein Mahlsdorf e. V. (DMV)

     Kaulbachstraße 8 a 

     12623 Berlin",1723522479,Stenzel.MVM(at)googlemail(dot)com,MVMahlsdorf.de
Haifischclub trifft Breitensport e.V.,"Haifischclub trifft Breitensport e.V.

     Wassertorstr. 67 

     10969 Berlin",null,null,null
Segel-Club Spandau e. V.,"Segel-Club Spandau e. V.

     Friederikestraße 25 

     13505 Berlin",4361919,rafrost(at)web(dot)de,www.scspandau.de
Rehasport Berlin e. V.,"Rehasport Berlin e. V.

     Epiphanienweg 6 

     14059 Berlin",030 - 306 78 0,info(at)rehasport-berlin(dot)de,rehasport-berlin.de
Müggelheimer REHA-FIT e. V.,"Müggelheimer REHA-FIT e. V.

     Müggelheimer Damm 244 

     12559 Berlin",null,null,null
Sportgemeinschaft Traktor Weißensee e. V.,"Sportgemeinschaft Traktor Weißensee e. V.

     Feldtmannstr. 61A 

     13051 Berlin",1795060290,traktor-weissensee(at)gmx(dot)de,null
Richtershorner Ruderverein e. V.,"Richtershorner Ruderverein e. V.

     Sportpromenade 17 

     12527 Berlin",675 85 50,info(at)riho-verein(dot)de,www.riho-verein.de
Sporting Mutante,"Sporting Mutante

     Buschkrugallee 203 

     12359 Berlin",null,null,null
Sportgemeinschaft Nordring e. V.,"Sportgemeinschaft Nordring e. V.

     Hugenottenplatz 4 

     13127 Berlin",47487051,sg-nordring(at)t-online(dot)de,www.sg-nordring.de
Club Nautique Francais de Tegel e. V.,"Club Nautique Francais de Tegel e. V.

     Schwarzer Weg 31 

     13505 Berlin",434 40 17,CNFT(at)arcor(dot)de,www.cnft-berlin.de
Schiller2zero e. V.,"Schiller2zero e. V.

     Kameruner Straße 6 

     13351 Berlin",17657381515,2zeroschiller(at)googlemail(dot)com,null
Baseball- und Softballverein Berlin Wizards e. V.,"Baseball- und Softballverein Berlin Wizards e. V.

     Ilmenauer Str. 3 

     14193 Berlin",17622510596,vorstand(at)berlin-wizards(dot)de,www.berlin-wizards.de
BSG Dino-Taxi,"BSG Dino-Taxi

     Krokusstraße 9 

     12357 Berlin",6637070,info(at)dinotaxi(dot)de,null
Fit und Fun Marzahn e.V.,"Fit und Fun Marzahn e.V.

     Marzahner Promenade 55 

     12679 Berlin","0159-04126785, 0177-7457093",seid(at)vsj-berlin(dot)de,null
Freizeitsportverein Dahlemer Delphine e. V.,"Freizeitsportverein Dahlemer Delphine e. V.

     Schlettstadter Straße 101 

     14169 Berlin",8122592,dr.janmartin(at)freenet(dot)de,null
Versehrten-Wassersport-Gemeinschaft,"Versehrten-Wassersport-Gemeinschaft

     Havelchaussee 115 

     14055 Berlin",30112717,kontakt(at)vwg-berlin(dot)de,http://www.vwg-berlin.de
Ländlicher Reiterverein Lichtenrade e. V.,"Ländlicher Reiterverein Lichtenrade e. V.

     Schichauweg 49 

     12307 Berlin",745 50 34,lrvlichtenrade(at)aol(dot)com,null
Ideal Schützenverein e. V.,"Ideal Schützenverein e. V.

     Schwedenstraße 14 Hinterhof 

     13357 Berlin",1791123966,null,null
Rock 'n' Roll-Club Spreeathen Berlin e. V.,"Rock 'n' Roll-Club Spreeathen Berlin e. V.

     Prenzlauer Promenade 23 

     13086 Berlin",4731213,info(at)rrc-spreeathen(dot)de,www.rrc-spreeathen.de
Tai Chi Chuan u. Qi Gong Forum Berlin e.V.,"Tai Chi Chuan u. Qi Gong Forum Berlin e.V.

     Stubenrauchstr. 63 

     12161 Berlin",0173-627 11 61,henrike.lindemann(at)gmx(dot)de,null
Sportverein Buchholz e. V.,"Sportverein Buchholz e. V.

     Chamissostraße 9-11 

     13127 Berlin",34338015,info(at)sv-buchholz(dot)de,www.sv-buchholz.de
Investitionsbank Berlin Betriebssportgemeinschaft e. V.,"Investitionsbank Berlin Betriebssportgemeinschaft e. V.

     Bundesallee 210 

     10719 Berlin",21254444,michael.bomke(at)ibb(dot)de,null
S. C. Berlin Bullet,"S. C. Berlin Bullet

      

      Berlin",null,null,null
Freizeitsportgemeinschaft Arbeitsgericht Berlin e.V.,"Freizeitsportgemeinschaft Arbeitsgericht Berlin e.V.

     Magdeburger Platz 1 

     10785 Berlin",90171-685,augustin(at)larbg.berlin(dot)de,null
Sport Club Berliner Amateure 1920 e.V.,"Sport Club Berliner Amateure 1920 e.V.

     Hobrechtstr. 62 

     12047 Berlin",702 434 35,berlineramateure(at)aol(dot)com,www.berlineramateure.de
Limalama Deutschland e.V.,"Limalama Deutschland e.V.

     Alt-Tempelhof 61 

     12013 Berlin",null,sergio.rih(at)gmail(dot)com,null
Sportverein Adler Berlin 1950 e.V.,"Sportverein Adler Berlin 1950 e.V.

     Fahrenheitstr. 10 

     12207 Berlin",030 / 7120 1566,info(at)sv-adler-berlin(dot)de,www.sv-adler-berlin.de
Angler-Verein Charlottenburg e. V.,"Angler-Verein Charlottenburg e. V.

     Am Maselakepark 50 

     13587 Berlin",35504490,null,null
BSG Blau-Weiß Mariendorfer Weg,"BSG Blau-Weiß Mariendorfer Weg

     Ascherslebener Weg 42 

     12355 Berlin",null,null,null
Rixdorfer SV Berlin e. V.,"Rixdorfer SV Berlin e. V.

     Sonnenallee 181 

     12059 Berlin",621 89 26,rixdorfersv(at)freenet(dot)de,rixdorfersv.de
FC Glück Auf Utopia Berlin 2010 e. V.,"FC Glück Auf Utopia Berlin 2010 e. V.

     Torstraße 23 

     10119 Berlin",20214157,fcglueckaufberlin(at)gmail(dot)com,null
Gesundheits- und Rehasportverein Berlin - Zentrum e. V.,"Gesundheits- und Rehasportverein Berlin - Zentrum e. V.

      

      Berlin",null,null,null
Berliner Modellclub e. V.,"Berliner Modellclub e. V.

      

      Berlin",null,null,null
Kimura Shukokai Karate Berlin Weißensee,"Kimura Shukokai Karate Berlin Weißensee

     Grevesmühlener Straße 24 

     13055 Berlin",17663217435,null,www.kimura-karate.de
Sportfischer-Verein Sandhausen e. V.,"Sportfischer-Verein Sandhausen e. V.

     Osterwicker Steig 11 a 

     13503 Berlin",4317742,null,null
Sportverein Spandau Aalemann e.V.,"Sportverein Spandau Aalemann e.V.

     Rustweg 28 B 

     13587 Berlin",80922985,vorstand(at)sv-aalemann(dot)de,www.sv-aalemann.de
Sportgemeinschaft NARVA Berlin e. V.,"Sportgemeinschaft NARVA Berlin e. V.

     Modersohnstraße 55 

     10245 Berlin",2917588,handball(at)SG-NARVA(dot)de,www.SG-NARVA.de
Wanderverein Fontane '91 Berlin e. V.,"Wanderverein Fontane '91 Berlin e. V.

     Fontanestraße 14 

     16356 Ahrensfelde",206 42 902,info(at)fontane91(dot)de,https://fontane91.de
Kanuclub Haselhorst e. V.,"Kanuclub Haselhorst e. V.

     Flensburger Str. 28 

     10557 Berlin",030/9018 42432,vorstand(at)kanu-club-haselhorst.sporton(dot)de,gareimann(at)googlemail(dot)com
Wassersportclub Rauchfangswerder e. V.,"Wassersportclub Rauchfangswerder e. V.

     Hubertusstraße 3 

     10365 Berlin",6756487,wsc(at)wassersportclub-rauchfangswerder(dot)de,www.wassersportclub-rauchfangswerder.de
Eifelverein Berlin e. V.,"Eifelverein Berlin e. V.

     Flurende 57 

     13589 Berlin",37489121,hschmidt(at)eifelverein-berlin(dot)de,www.eifelverein-berlin.de
FC POLONIA BERLIN e. V.,"FC POLONIA BERLIN e. V.

     Hefnersteig 3 

     13629 Berlin",17696790063,vorstand(at)fc-polonia(dot)com,null
Angelsportverein am Langen See e. V.,"Angelsportverein am Langen See e. V.

     Aßmannstraße 6 c 

     12587 Berlin",1635488756,hans-juergen.schaechter(at)cristalux(dot)de,www.asv-am-langen-see.de
Segel-Club Ahoi e. V.,"Segel-Club Ahoi e. V.

     Luisenstraße 60 

     14532 Stahnsdorf",1723904230,tpatzelt(at)t-online(dot)de,www.scahoi-berlin.de
Seesportclub Berlin-Grünau e. V.,"Seesportclub Berlin-Grünau e. V.

     Rohrwallallee 11 

     12527 Berlin",674 34 58,sscbg(at)berlin(dot)de,www.sscbg.de
Lebens-Wert-Berlin e. V.,"Lebens-Wert-Berlin e. V.

     Gembitzer Straße 19 

     13053 Berlin",1723958484,info(at)lebens-wert(dot)berlin,www.lebens-wert.berlin
BSG Wasser 75 e.V.,"BSG Wasser 75 e.V.

     Kronprinzessinnenweg 140 

     14129 Berlin",030/ 80 48 27 00; 03,geschaeftsstelle(at)bsg-wasser75(dot)de,www.bsg-wasser75.de
Wassersport-Verein 1921 e.V.,"Wassersport-Verein 1921 e.V.

     Rohrwallallee 87-89 

     12527 Berlin",6758530,wm(at)wsv1921(dot)de,www.wsv1921.de
Steglitzer Tischtennis Klub Berlin,"Steglitzer Tischtennis Klub Berlin

     Dalandweg 7 

     12167 Berlin",030 771 90 881,christian(at)sttkberlin(dot)de,http://www.sttkberlin.de
Fußball Club Internationale Berlin 1980 e. V.,"Fußball Club Internationale Berlin 1980 e. V.

     Vorarlberger Damm 38 

     12157 Berlin",70509884,inter(at)berlin(dot)de,www.fc-internationale-berlin.de
Ruderclub NARVA-Oberspree e. V.,"Ruderclub NARVA-Oberspree e. V.

     Westendstraße 15 

     12557 Berlin",22324793,narvalutz(at)web(dot)de,sgnarva.ag.vu
Verein für Asiatische Kampfkünste e. V.,"Verein für Asiatische Kampfkünste e. V.

     Sterndamm 82 

     12487 Berlin",1721075090,null,null
Centromed e. V.,"Centromed e. V.

      

      Berlin",null,null,null
Zehlendorfer Turn- und Sportverein von 1888 e. V.,"Zehlendorfer Turn- und Sportverein von 1888 e. V.

     Sven-Hedin-Straße 85 

     14163 Berlin",813 72 29,info(at)zehlendorf88(dot)de,www.zehlendorf88.de
Sektion Brandenburger Tor des Deutschen Alpenvereins,"Sektion Brandenburger Tor des Deutschen Alpenvereins

     Inselstraße 8 a 

     10179 Berlin",27909746,LutzPrill(at)web(dot)de,www.horzelbuben.de
Biber Sport Club Spandau,"Biber Sport Club Spandau

     Lünette 12 

     13599 Berlin",1637176787,Vorstand(at)bsc-spandau(dot)de,http://www.bsc-spandau.de
Ballspielverein (BSV) Schwarz-Gelb 94 e. V.,"Ballspielverein (BSV) Schwarz-Gelb 94 e. V.

     Landsberger Straße 52 

     12623 Berlin",null,patrice.streuber(at)gmail(dot)com,null
EHC Berlin Blues e. V.,"EHC Berlin Blues e. V. 

     Franklinstraße 13 a 

     10587 Berlin",683202220,europe(at)tchernovandio(dot)com,www.berlinerblues.com
Jugger e. V.,"Jugger e. V.

     Rietzestraße 6 

     10409 Berlin",0171-324 96 86,vorstand(at)jugger-berlin(dot)de,www.jugger-berlin.de
BSG Allgemeine Ortskrankenkasse Nordost e.V.,"BSG Allgemeine Ortskrankenkasse Nordost e.V.

     Wilhelmstraße 1 

     10963 Berlin",7442967,wolfganghorstkoch(at)googlemail(dot)com,null
Kanu-Verein Falke e. V.,"Kanu-Verein Falke e. V.

     Königstraße 69 

     14109 Berlin",86303440,aw(at)kvfalke(dot)de,www.kanu-verein-falke.de
Verein für Minigolf Berlin e. V.,"Verein für Minigolf Berlin e. V.

     Egidystr. 2 

     12307 Berlin",030/4332284,vfm-berlin(at)gmx(dot)de,www.Vfm-Berlin.de
Tolf Berlin e.V.,"Tolf Berlin e.V.

     Bänschstr. 22 

     10247 Berlin",030-79702768,info(at)tolf(dot)de,www.tolf.de
Tennis-Vereinigung Frohnau e.V.,"Tennis-Vereinigung Frohnau e.V.

     Schönfließer Straße. 11 A 

     13465 Berlin",4016879,club(at)tv-frohnau(dot)de,www.tv-frohnau.de
SV Deutsche Bank Deutschland e. V.,"SV Deutsche Bank Deutschland e. V.

     Unter den Linden 13-15 

     10117 Berlin",34071782,andre.hamann(at)db(dot)com,www.db-sport.de
Leistungssportclub Berlin e. V.,"Leistungssportclub Berlin e. V.

     Seestraße 101 

     13353 Berlin",183054835,adrian.saupe(at)web(dot)de,null
Sportgemeinschaft Blau-Weiss Hohenschönhausen e. V.,"Sportgemeinschaft Blau-Weiss Hohenschönhausen e. V.

     Am Breiten Luch 21 

     13053 Berlin",92373497,kontakt(at)bwh-berlin(dot)de,www.bwh-berlin.de
1. Softball Club Berlin e.V.,"1. Softball Club Berlin e.V.

     Altmarkstr. 26 

     12169 Berlin",85746262,play(at)hangarounds(dot)de,null
Turn- und Sportverein Staaken 06,"Turn- und Sportverein Staaken 06

     Straße 331 Nr. 5 

     13591 Berlin",15779447608,geschaeftsstelle(at)tsvstaaken(dot)de,www.tsvstaaken.de
DJK Blau-Weiß,"DJK Blau-Weiß

     Zwinglistraße 36 

     10555 Berlin",1785211122,mariaagelopoulou(at)aol(dot)com,null
Wannseer Kanu-Club e. V.,"Wannseer Kanu-Club e. V.

     Bismarckstr. 70 - 72 

     14109 Berlin",1723054186,joerg.heibeck(at)wkc-berlin(dot)de,www.wkc-berlin.de
Sport-Spiel-Verein Köpenick-Oberspree e. V.,"Sport-Spiel-Verein Köpenick-Oberspree e. V.

     Bruno-Bürgel-Weg 99 

     12439 Berlin",64904697,verein.koob(at)googlemail(dot)com,ssvkob.de
Schützengilde Andreas Hofer Berlin e. V.,"Schützengilde Andreas Hofer Berlin e. V.

     Clayallee 121 

     14195 Berlin",8134055,null,null
Segelgemeinschaft Rauchfangswerder e. V.,"Segelgemeinschaft Rauchfangswerder e. V.

     Hiddenseestraße 11 

     13189 Berlin",1711135635,siegfried_krueger(at)gmx(dot)de,null
Reiterverein Onkel-Toms-Hütte e. V.,"Reiterverein Onkel-Toms-Hütte e. V.

     Onkel-Tom-Straße 172 

     14169 Berlin",030 - 813 20 81,info(at)oth-reiten(dot)de,www.oth-reiten.de
Kendoverband Berlin e.V.,"Kendoverband Berlin e.V.

     Monumentenstr. 28 

     10965 Berlin",0176-32 93 9003,b.baade(at)kendoverband-berlin(dot)de,null
Verein für Gesundheitssport e. V.,"Verein für Gesundheitssport e. V.

     Oberspreestraße 186 

     12557 Berlin",93937580,info(at)vgs-land-berlin(dot)de,www.vgs-land-berlin.de
Badminton-Club Tempelhof e. V.,"Badminton-Club Tempelhof e. V.

     Hildburghauser Str. 10a 

     12279 Berlin",030 / 721 11 75,d.babenschneider(at)bctempelhof(dot)de,www.bctempelhof.de
Wassersportgemeinschaft am Großen Fenster e. V.,"Wassersportgemeinschaft am Großen Fenster e. V.

     Breite Str. 49 

     14199 Berlin",030/21479179,info(at)wag-berlin(dot)de,www.wag-berlin.de
Shin Gi Tai Kai Karate Do e. V.,"Shin Gi Tai Kai Karate Do e. V.

     Oranienstraße 188 

     10999 Berlin",0049 30 695 07 688,shitoryu(at)gmx(dot)de,www.shingitai.de
Nikolassee Tennis-Club Die Känguruhs e. V.,"Nikolassee Tennis-Club Die Känguruhs e. V.

     Spanische Allee 170 

     14129 Berlin",030/803 71 70,info(at)die-kaenguruhs(dot)org,www.die-kaenguruhs.org
Betriebssportgemeinschaft Procter & Gamble Manufacturing Berlin GmbH e. V.,"Betriebssportgemeinschaft Procter & Gamble Manufacturing Berlin GmbH e. V.

     Bühler Weg 51 

     12349 Berlin",7423210,hlattwesen(at)t-online(dot)de,null
Großer Sport Zehlendorf,"Großer Sport Zehlendorf

      

      Berlin",null,null,null
BSG Bundesdruckerei,null,null,null,null
Turn- und Sportverein Berlin -Wilmersdorf,"Turn- und Sportverein Berlin -Wilmersdorf

     Hauptstraße 16 a 

     15366 Hoppegarten",1624830623,annett.arnold(at)berlin(dot)de,www.tus-wilmersdorf.de
Segel Club Seddin e. V.,"Segel Club Seddin e. V.

     Am Seddinsee 13 

     12527 Berlin",6758254,kontaktscs(at)sc-seddin(dot)de,www.sc-seddin.de
Berliner Tennis-Club Wista e. V.,"Berliner Tennis-Club Wista e. V.

     Verlängerte Werderstraße 5 

     12524 Berlin",6774734,info(at)btc-wista(dot)de,www.btc-wista.de
Berliner Ruderclub Phönix e. V.,"Berliner Ruderclub Phönix e. V.

     Bootshausweg 6 

     13599 Berlin",334 76 30,br-phoenix1913(at)web(dot)de,www.br-phoenix.de
Märkischer Tanzsportclub Berlin e. V.,"Märkischer Tanzsportclub Berlin e. V.

     Wilhelmsruher Damm 96 

     13439 Berlin",4152626,ts.steirl(at)t-online(dot)de,www.tanzschule-steirl.de
BSV Physio Harmony Reha-Sportverein e. V.,"BSV Physio Harmony Reha-Sportverein e. V.

     Zossener Straße 36 

     10961 Berlin",null,null,null
Berliner Tennisclub Gropiusstadt e. V.,"Berliner Tennisclub Gropiusstadt e. V.

     Matthäusweg 8 

     12355 Berlin",6611060,kontakt(at)btc-gropiusstadt(dot)de,btc-gropiusstadt.de
BSG Max-Bürger-Krankenhaus,"BSG Max-Bürger-Krankenhaus

     Magdeburger Platz 4-5 

     10785 Berlin",2613468,klausgruhn(at)web(dot)de,null
Kanu-Gemeinschaft Tegel e. V.,"Kanu-Gemeinschaft Tegel e. V.

     Säntisstraße 43 

     12107 Berlin",741 84 43,null,null
Sportverein Startklar e.V.,"Sportverein Startklar e.V.

     Trelleborger Straße 2 

     10439 Berlin",4463831,null,null
Fußball-Club Concordia Wilhelmsruh 1895 e. V.,"Fußball-Club Concordia Wilhelmsruh 1895 e. V.

     Dietzgenstraße 187-189 

     13158 Berlin",9121480,vorstand(at)cw1895(dot)de,www.fc-concordia-wilhelmsruh1895.de
Segel-Club Odin e. V.,"Segel-Club Odin e. V.

     Bernauer Straße 152 c 

     13507 Berlin",432 73 92,null,http://www.scodin.de/
HSV Teamsport Berlin e. V.,"HSV Teamsport Berlin e. V.

     Neptunstraße 1 

     12526 Berlin",null,1.vors(at)teamsport-berlin(dot)de,www.teamsport-berlin.de
FMC Neuhardenberg e. V.,"FMC Neuhardenberg e. V.

     Friedrich-Engels-Straße 15 a 

     15320 Neuhardenberg",0177/ 2054180,holger.au(at)t-online(dot)de,null
FC Akzent Berlin,"FC Akzent Berlin

     Zimmerstraße 69 

     10177 Berlin",2839910,stefan.schwass(at)akzent-personal(dot)de,null
